,year,country,logged_GDP_per_capita,support,life_exp,freedom,generosity,corruption,score
0,2020,Finland,10.63926697,0.954329729,71.9008255,0.949172199,-0.059482019000000004,0.19544458399999998,7.808700085
1,2020,Denmark,10.77400112,0.955990791,72.40250397,0.9514442679999999,0.06620177599999999,0.168489456,7.645599842
2,2020,Switzerland,10.97993279,0.942846596,74.10244751,0.921336651,0.105911039,0.303728431,7.559899807000001
3,2020,Iceland,10.77255917,0.9746695759999999,73.0,0.948891878,0.246944219,0.7117097379999999,7.504499912000001
4,2020,Norway,11.08780384,0.952486575,73.20078278,0.955750287,0.13453263,0.26321819399999996,7.487999916000001
5,2020,Netherlands,10.81271172,0.93913883,72.30091858,0.908547819,0.20761244,0.364717126,7.448900223
6,2020,Sweden,10.75879383,0.926311195,72.60076904,0.939144194,0.111614622,0.250880182,7.353499889
7,2020,New Zealand,10.50094318,0.9491189720000001,73.20262909,0.9362174870000001,0.191598073,0.22113885,7.2996001239999995
8,2020,Austria,10.7428236,0.9280458690000001,73.00250244,0.899989486,0.085429221,0.49995487899999996,7.294199944
9,2020,Luxembourg,11.45068073,0.9069122079999999,72.59999847,0.90563643,-0.004620588,0.367084295,7.2375001910000005
10,2020,Canada,10.69236851,0.927176654,73.60160065,0.9339132309999999,0.124770768,0.390843362,7.23210001
11,2020,Australia,10.72059631,0.9448546170000001,73.60453796,0.915431738,0.19046016,0.41516912,7.222799778
12,2020,United Kingdom,10.60013485,0.93668282,72.30160522,0.834743679,0.263732493,0.43591591700000004,7.164500237
13,2020,Israel,10.41752529,0.913571239,73.20025635,0.7475805879999999,0.10259372,0.78085506,7.128600121
14,2020,Costa Rica,9.658156395,0.901545942,71.29985046,0.9347389340000001,-0.10242971,0.7863324279999999,7.121399879
15,2020,Ireland,11.16097832,0.9420815709999999,72.30078888,0.8869829770000001,0.145784974,0.357184172,7.093699932000001
16,2020,Germany,10.7328186,0.898874462,72.20201874,0.867371082,0.08017938599999999,0.456422031,7.075799942000001
17,2020,United States,10.92576885,0.914219022,68.29949951,0.842619538,0.149891734,0.6997153159999999,6.939599991000001
18,2020,Czech Republic,10.40416336,0.914430678,70.04793549,0.818537354,-0.230861515,0.85844624,6.9109001160000005
19,2020,Belgium,10.673639300000001,0.911632538,72.00164795,0.813582063,-0.078691199,0.612297952,6.863500117999999
20,2020,United Arab Emirates,11.1099987,0.8491811159999999,67.08278656,0.941345513,0.123450845,0.594502211,6.790800095
21,2020,Malta,10.53383827,0.93037951,72.19999695,0.9249114390000001,0.214965805,0.658547282,6.772799968999999
22,2020,France,10.58422279,0.937103748,73.80193329,0.8254676459999999,-0.130641967,0.583521128,6.663799762999999
23,2020,Mexico,9.797797203,0.8386654259999999,68.29902649,0.8587092759999999,-0.175266623,0.806821585,6.465000152999999
24,2020,Taiwan Province of China,10.77568531,0.894309103,69.59999847,0.77153033,-0.07319869799999999,0.73188293,6.45539999
25,2020,Uruguay,9.948192596,0.92281127,69.00254822,0.892395437,-0.101103112,0.635994136,6.440100192999999
